epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.1419,3.77418,3.91224,4.20962,0.00193,0.21818,0.00184,0.00052,3.7878,3.85376,4.1771,0.00058,0.00058,0.00058
2,41.1034,3.52172,3.56521,3.86351,0.002,0.22424,0.00225,0.00059,3.75388,3.64785,4.14136,0.00115664,0.00115664,0.00115664
3,57.6139,3.06422,3.35347,3.39865,0.00323,0.1303,0.00246,0.00071,3.62699,3.76884,4.05167,0.00170951,0.00170951,0.00170951
4,68.0169,2.88181,3.2588,3.15524,0.05107,0.05455,0.01156,0.00329,3.02195,3.41697,3.4698,0.0018812,0.0018812,0.0018812
5,82.893,2.75184,3.06464,2.94203,0.02829,0.10909,0.019,0.00515,3.20345,9.1775,3.82131,0.0018416,0.0018416,0.0018416
6,95.2633,2.69747,3.07571,2.85829,0.05222,0.04848,0.0185,0.0075,2.9634,3.84924,3.41458,0.001802,0.001802,0.001802
7,107.949,2.5815,2.94026,2.7208,0.00425,0.10303,0.00339,0.00116,3.45989,4.66366,4.64908,0.0017624,0.0017624,0.0017624
8,121.02,2.57791,2.85467,2.6491,0.11907,0.21515,0.08206,0.02718,2.47367,5.31765,2.62058,0.0017228,0.0017228,0.0017228
9,133.18,2.51965,2.83429,2.61771,0.20042,0.18788,0.11544,0.05076,2.3586,2.67815,2.53716,0.0016832,0.0016832,0.0016832
10,147.978,2.46306,2.74082,2.51938,0.15901,0.19697,0.09797,0.03937,2.35958,3.05542,2.49059,0.0016436,0.0016436,0.0016436
11,159.799,2.39228,2.70149,2.50994,0.16964,0.12121,0.06946,0.02366,2.556,3.34332,2.71966,0.001604,0.001604,0.001604
12,174.333,2.31718,2.60413,2.41512,0.22994,0.28182,0.16878,0.06293,2.28794,2.86046,2.41389,0.0015644,0.0015644,0.0015644
13,184.505,2.24285,2.51597,2.36247,0.27854,0.23333,0.18262,0.07243,2.26705,2.45222,2.42132,0.0015248,0.0015248,0.0015248
14,199.945,2.22792,2.48317,2.33886,0.15815,0.28485,0.13906,0.05774,2.18481,2.65506,2.31562,0.0014852,0.0014852,0.0014852
15,209.796,2.14803,2.34637,2.23557,0.32355,0.29091,0.24753,0.10263,2.14328,2.24519,2.26925,0.0014456,0.0014456,0.0014456
16,225.036,2.06884,2.25154,2.17408,0.30875,0.25152,0.21963,0.08949,2.12269,2.52308,2.33967,0.001406,0.001406,0.001406
17,235.983,2.06451,2.24348,2.1832,0.42706,0.31818,0.30023,0.13748,2.02746,2.72882,2.16441,0.0013664,0.0013664,0.0013664
18,250.011,2.01479,2.19838,2.13745,0.39587,0.31515,0.29737,0.13827,2.01114,2.1373,2.13692,0.0013268,0.0013268,0.0013268
19,262.285,2.02855,2.12251,2.11903,0.42525,0.33939,0.33405,0.14419,1.97976,2.16024,2.14285,0.0012872,0.0012872,0.0012872
20,275.434,1.95191,2.05637,2.06933,0.50191,0.36364,0.37798,0.17947,1.909,2.01485,2.07688,0.0012476,0.0012476,0.0012476
21,288.997,1.94635,2.09044,2.08066,0.43161,0.38485,0.3436,0.1602,1.858,2.08458,2.01118,0.001208,0.001208,0.001208
22,301.657,1.891,2.00771,2.00409,0.35891,0.37576,0.33119,0.15041,1.93061,2.22261,2.05718,0.0011684,0.0011684,0.0011684
23,315.885,1.86596,1.90256,1.95715,0.47059,0.38788,0.39026,0.1773,1.92104,1.99731,2.10242,0.0011288,0.0011288,0.0011288
24,327.272,1.8822,1.9827,1.97968,0.44567,0.37576,0.3585,0.18079,1.84788,1.97677,1.96817,0.0010892,0.0010892,0.0010892
25,342.741,1.81454,1.85413,1.92226,0.55588,0.39825,0.41879,0.21497,1.82128,1.90112,1.97369,0.0010496,0.0010496,0.0010496
