epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.4292,2.55789,3.42597,2.29956,0.00123,0.14848,0.00179,0.00043,3.97921,3.84906,2.90391,0.00014,0.00014,0.00014
2,16.821,2.3978,3.29601,2.20558,0.00218,0.26364,0.0018,0.00049,3.70219,3.73399,2.91883,0.000296288,0.000296288,0.000296288
3,22.2593,2.07901,2.81734,1.97625,0.00303,0.36667,0.00822,0.00217,3.27067,3.65667,2.5832,0.000448615,0.000448615,0.000448615
4,27.4015,1.98923,2.56842,1.84545,0.00414,0.5,0.0092,0.00264,2.88262,3.71933,2.54306,0.000596983,0.000596983,0.000596983
5,32.7269,1.92414,2.37237,1.80611,0.00509,0.61515,0.01829,0.0053,2.50004,3.47387,2.17108,0.00074139,0.00074139,0.00074139
6,37.9633,1.8917,2.28781,1.75685,0.24769,0.14848,0.10022,0.02911,2.3782,3.45757,2.04315,0.000881838,0.000881838,0.000881838
7,43.2072,1.85827,2.1609,1.73058,0.26594,0.13333,0.12594,0.04587,2.48619,2.96301,2.0933,0.00101833,0.00101833,0.00101833
8,48.6011,1.89715,2.16267,1.77832,0.20499,0.1303,0.08618,0.02935,2.72489,3.29992,2.4471,0.00115085,0.00115085,0.00115085
9,53.75,1.91576,2.14402,1.77845,0.02137,0.03636,0.00793,0.00262,2.76534,3.7282,3.13789,0.00127942,0.00127942,0.00127942
10,59.02,1.95113,2.17928,1.80055,0.14263,0.17879,0.06947,0.01823,2.40731,13.9095,2.68447,0.00140403,0.00140403,0.00140403
11,64.4605,1.90973,2.10638,1.76527,0.31343,0.12727,0.09729,0.03063,2.14915,22.3955,2.28014,0.00152467,0.00152467,0.00152467
12,69.6581,1.87328,2.05624,1.74716,0.18473,0.22727,0.08961,0.03209,2.0684,13.9098,2.01344,0.00164136,0.00164136,0.00164136
13,74.9434,1.87316,2.03562,1.73595,0.47154,0.17576,0.16763,0.04978,2.32328,18.3469,2.41975,0.001703,0.001703,0.001703
14,80.2647,1.88552,2.01488,1.74347,0.04473,0.24242,0.03117,0.01118,2.35811,18.7735,2.51157,0.00167825,0.00167825,0.00167825
15,85.4491,1.87298,1.96935,1.73301,0.03352,0.11515,0.01713,0.00597,2.50439,5.64328,2.57369,0.0016535,0.0016535,0.0016535
