epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.9108,1.95137,3.27623,1.81037,0.00296,0.35758,0.00362,0.00087,3.2433,3.80407,2.49564,0.00058,0.00058,0.00058
2,19.0168,1.77996,2.47614,1.59229,0.11503,0.14848,0.05916,0.02277,2.27608,3.28822,1.92572,0.00115664,0.00115664,0.00115664
3,25.3095,1.76599,2.19572,1.58711,0.0252,0.03636,0.00719,0.00195,2.72026,3.63141,3.01693,0.00170951,0.00170951,0.00170951
4,32.1402,1.73277,2.01989,1.56193,0.01705,0.26061,0.01389,0.00456,2.43402,8.98253,3.43685,0.0018812,0.0018812,0.0018812
5,38.7217,1.75296,1.99813,1.56467,0.21359,0.29394,0.17639,0.07607,2.00258,5.02304,1.88443,0.0018416,0.0018416,0.0018416
6,44.8243,1.73023,1.91039,1.55686,0.22329,0.15758,0.09858,0.03696,2.254,5.61654,2.21581,0.001802,0.001802,0.001802
7,51.4634,1.77463,1.8933,1.66336,0.48364,0.33636,0.31829,0.14995,1.95334,3.86446,1.8192,0.0017624,0.0017624,0.0017624
8,57.9448,1.62873,1.73975,1.49938,0.50466,0.32727,0.33705,0.16325,1.84584,3.10021,1.81435,0.0017228,0.0017228,0.0017228
9,63.9711,1.61917,1.67689,1.50337,0.42695,0.44242,0.40113,0.1905,1.74721,2.27441,1.63971,0.0016832,0.0016832,0.0016832
10,70.1632,1.57401,1.55186,1.45111,0.50901,0.56861,0.52431,0.27127,1.6552,1.82885,1.61882,0.0016436,0.0016436,0.0016436
11,76.4461,1.5707,1.55081,1.44446,0.54331,0.53636,0.53961,0.26185,1.69897,1.80213,1.61155,0.001604,0.001604,0.001604
12,82.4229,1.56031,1.49418,1.42178,0.72498,0.48729,0.57116,0.30497,1.62951,1.66972,1.50636,0.0015644,0.0015644,0.0015644
13,88.4157,1.5369,1.58311,1.44401,0.57719,0.52424,0.5665,0.28649,1.57398,2.06041,1.48747,0.0015248,0.0015248,0.0015248
14,94.8623,1.47561,1.46595,1.39751,0.70972,0.51515,0.6,0.33085,1.58695,1.73124,1.45695,0.0014852,0.0014852,0.0014852
15,100.963,1.48409,1.43115,1.38186,0.65986,0.49697,0.57072,0.29201,1.65938,1.72046,1.55538,0.0014456,0.0014456,0.0014456
16,106.938,1.44208,1.39713,1.35702,0.67699,0.55255,0.60663,0.32734,1.59513,1.50927,1.54277,0.001406,0.001406,0.001406
17,113.028,1.47027,1.39509,1.36505,0.63494,0.57977,0.63986,0.34539,1.61324,1.51451,1.51209,0.0013664,0.0013664,0.0013664
18,119.212,1.44245,1.35812,1.3602,0.60354,0.56061,0.5905,0.32527,1.54457,1.57225,1.48626,0.0013268,0.0013268,0.0013268
19,125.08,1.4175,1.29511,1.3362,0.64059,0.61515,0.66386,0.3702,1.54199,1.38128,1.45449,0.0012872,0.0012872,0.0012872
20,131.109,1.36749,1.26696,1.31173,0.66972,0.63333,0.65806,0.36288,1.55916,1.36755,1.47808,0.0012476,0.0012476,0.0012476
21,137.302,1.43303,1.30194,1.3782,0.75695,0.55682,0.63339,0.34806,1.51795,1.40245,1.44751,0.001208,0.001208,0.001208
22,143.296,1.43317,1.30961,1.35812,0.6763,0.6331,0.68082,0.3732,1.49285,1.31981,1.40038,0.0011684,0.0011684,0.0011684
23,149.153,1.3894,1.30397,1.33666,0.72177,0.62727,0.69167,0.40141,1.49091,1.3251,1.40889,0.0011288,0.0011288,0.0011288
24,155.341,1.38596,1.22722,1.32533,0.67898,0.62169,0.66194,0.36622,1.53445,1.38265,1.46308,0.0010892,0.0010892,0.0010892
25,161.358,1.34283,1.2008,1.29513,0.71449,0.64545,0.69976,0.40909,1.43918,1.24565,1.38284,0.0010496,0.0010496,0.0010496
26,167.347,1.34378,1.22521,1.29622,0.77212,0.61515,0.70566,0.40021,1.44808,1.27053,1.37396,0.00101,0.00101,0.00101
27,173.39,1.34671,1.21361,1.29712,0.7554,0.60303,0.70371,0.41169,1.41193,1.25221,1.36032,0.0009704,0.0009704,0.0009704
28,179.598,1.30758,1.16192,1.2759,0.70606,0.61818,0.68578,0.3936,1.47072,1.3345,1.41311,0.0009308,0.0009308,0.0009308
29,185.503,1.29332,1.12984,1.25893,0.79067,0.65152,0.73092,0.43633,1.4196,1.14903,1.3676,0.0008912,0.0008912,0.0008912
30,191.501,1.29449,1.16698,1.26885,0.75152,0.62324,0.71574,0.42333,1.45078,1.19343,1.3676,0.0008516,0.0008516,0.0008516
31,197.694,1.27574,1.07049,1.23633,0.7259,0.62597,0.70613,0.39817,1.43879,1.33469,1.39698,0.000812,0.000812,0.000812
32,203.735,1.28727,1.07574,1.25415,0.77004,0.60606,0.73245,0.44098,1.41522,1.1693,1.39458,0.0007724,0.0007724,0.0007724
33,209.65,1.27492,1.11298,1.24015,0.73809,0.64545,0.72474,0.42837,1.40433,1.168,1.35886,0.0007328,0.0007328,0.0007328
34,215.785,1.27164,1.09061,1.23734,0.7352,0.65623,0.73788,0.43336,1.36854,1.18576,1.32527,0.0006932,0.0006932,0.0006932
35,221.811,1.25677,1.07269,1.25069,0.75275,0.65501,0.74961,0.44135,1.40109,1.15186,1.3607,0.0006536,0.0006536,0.0006536
36,227.74,1.24371,1.03611,1.24248,0.79821,0.63636,0.74643,0.44136,1.37645,1.14082,1.34042,0.000614,0.000614,0.000614
37,233.824,1.25016,1.05821,1.23835,0.71944,0.62942,0.71454,0.42536,1.431,1.17377,1.38579,0.0005744,0.0005744,0.0005744
38,240.013,1.18673,1.02371,1.18924,0.76097,0.63671,0.73734,0.44669,1.39554,1.1349,1.34429,0.0005348,0.0005348,0.0005348
39,245.959,1.20713,1.01633,1.2146,0.77106,0.66667,0.75986,0.46791,1.38976,1.10564,1.33558,0.0004952,0.0004952,0.0004952
40,251.952,1.23784,1.03286,1.24453,0.79048,0.64545,0.75865,0.46181,1.37406,1.11165,1.33904,0.0004556,0.0004556,0.0004556
41,259.849,1.17622,1.06664,1.16776,0.72836,0.65758,0.73102,0.43727,1.39827,1.23608,1.31812,0.000416,0.000416,0.000416
42,265.991,1.16936,1.01328,1.23961,0.78113,0.62728,0.74665,0.45958,1.36561,1.11686,1.32485,0.0003764,0.0003764,0.0003764
43,271.943,1.13615,0.93621,1.17569,0.77438,0.64848,0.74296,0.45075,1.35559,1.1836,1.31746,0.0003368,0.0003368,0.0003368
44,278.062,1.1559,0.95172,1.21843,0.79409,0.66611,0.77097,0.47015,1.34592,1.05235,1.31141,0.0002972,0.0002972,0.0002972
45,284.025,1.08553,0.90394,1.14226,0.79447,0.66364,0.77221,0.47275,1.34671,1.04017,1.31008,0.0002576,0.0002576,0.0002576
