epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.50748,3.69198,3.74476,4.26964,0.00173,0.20909,0.00137,0.00046,3.76031,3.85952,4.15796,0.00014,0.00014,0.00014
2,14.7324,3.67511,3.72181,4.2354,0.00173,0.20909,0.00144,0.00047,3.75732,3.84912,4.1557,0.000296288,0.000296288,0.000296288
3,20.4622,3.55168,3.59555,4.14656,0.00168,0.20303,0.00135,0.00044,3.76418,3.87147,4.16072,0.000448615,0.000448615,0.000448615
4,25.6462,3.40317,3.51065,3.98461,0.00169,0.20303,0.00146,0.00051,3.76565,3.88399,4.16673,0.000596983,0.000596983,0.000596983
5,31.3248,3.20715,3.38117,3.77328,0.00176,0.21212,0.00161,0.00052,3.76234,3.59928,4.16275,0.00074139,0.00074139,0.00074139
6,37.1551,3.03643,3.3168,3.50465,0.00166,0.2,0.00182,0.00072,3.74746,3.56766,4.11944,0.000881838,0.000881838,0.000881838
7,42.4888,2.85812,3.22772,3.25863,0.00163,0.19697,0.00159,0.00055,3.73185,3.65915,4.08976,0.00101833,0.00101833,0.00101833
8,47.6184,2.84171,3.17455,3.14017,0.00227,0.20909,0.00194,0.00064,3.78862,3.81114,4.09524,0.00115085,0.00115085,0.00115085
9,53.5267,2.73835,3.10152,3.00881,0.00095,0.11515,0.00057,0.00017,4.15772,4.01029,4.15441,0.00127942,0.00127942,0.00127942
10,59.1328,2.66776,3.05584,2.9201,0.0017,0.20606,0.00331,0.00094,3.46094,3.93179,3.6095,0.00140403,0.00140403,0.00140403
11,63.9697,2.61225,3.02357,2.82275,0.00342,0.15758,0.00213,0.00076,3.40765,3.91493,3.85751,0.00152467,0.00152467,0.00152467
12,69.2238,2.56597,2.89841,2.76943,0.018,0.01212,0.00701,0.00177,3.28684,4.51423,3.64722,0.00164136,0.00164136,0.00164136
13,74.9851,2.48733,2.88579,2.71122,0.05656,0.07273,0.01181,0.00281,3.23255,6.41488,3.43532,0.001703,0.001703,0.001703
14,80.3626,2.44109,2.84326,2.63712,0.03219,0.08485,0.0079,0.00251,3.25313,6.0307,3.40998,0.00167825,0.00167825,0.00167825
15,85.5443,2.43651,2.81374,2.59877,0.05011,0.04242,0.01687,0.00643,3.23645,3.56348,3.24085,0.0016535,0.0016535,0.0016535
16,90.5563,2.40043,2.72541,2.5536,0.08686,0.06667,0.0239,0.00747,2.80801,3.23834,2.77907,0.00162875,0.00162875,0.00162875
17,96.1791,2.33496,2.6493,2.50737,0.00918,0.26667,0.00563,0.00197,2.89763,inf,3.52552,0.001604,0.001604,0.001604
18,101.448,2.28652,2.59311,2.44795,0.06853,0.13636,0.03448,0.01122,2.50704,3.61056,2.5447,0.00157925,0.00157925,0.00157925
