epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.9316,2.05209,3.19214,1.89039,0.00469,0.56667,0.03686,0.01568,2.38031,3.52502,2.11107,0.00058,0.00058,0.00058
2,31.0924,1.79745,2.33888,1.61865,0.32679,0.14545,0.13906,0.04776,2.21004,2.93097,1.85101,0.00115664,0.00115664,0.00115664
3,45.2827,1.77651,2.14716,1.58998,0.16407,0.17273,0.10773,0.03676,2.48672,4.73357,2.5182,0.00170951,0.00170951,0.00170951
4,56.2437,1.78772,2.05494,1.61286,0.33156,0.27576,0.22244,0.08464,2.04228,3.56125,2.04073,0.0018812,0.0018812,0.0018812
5,69.9852,1.7046,1.85708,1.54294,0.38616,0.44228,0.34661,0.15669,1.93822,3.96282,2.05331,0.0018416,0.0018416,0.0018416
6,87.1806,1.72945,1.86716,1.57359,0.43243,0.30909,0.30281,0.13386,1.9193,2.53639,1.92246,0.001802,0.001802,0.001802
7,103.951,1.67642,1.7499,1.50175,0.50643,0.47879,0.47182,0.23192,1.76301,2.15511,1.66454,0.0017624,0.0017624,0.0017624
8,120.846,1.6149,1.63784,1.47864,0.48147,0.4303,0.43495,0.21566,1.81959,2.07721,1.63417,0.0017228,0.0017228,0.0017228
9,136.895,1.6073,1.61655,1.47221,0.60615,0.49394,0.53248,0.25131,1.76244,2.21828,1.7111,0.0016832,0.0016832,0.0016832
10,151.163,1.61012,1.6539,1.4668,0.50911,0.40303,0.42977,0.21788,1.77878,1.9218,1.64777,0.0016436,0.0016436,0.0016436
11,163.973,1.59619,1.6542,1.48338,0.55259,0.47576,0.501,0.2582,1.68346,2.01003,1.57402,0.001604,0.001604,0.001604
12,178.12,1.54688,1.52001,1.406,0.65982,0.48788,0.53223,0.25149,1.72028,1.94509,1.57846,0.0015644,0.0015644,0.0015644
13,191.647,1.53482,1.48819,1.40041,0.57232,0.50606,0.54032,0.27641,1.61401,1.77534,1.52054,0.0015248,0.0015248,0.0015248
14,202.459,1.50813,1.44824,1.39975,0.71593,0.48485,0.59588,0.30891,1.62484,1.56676,1.53771,0.0014852,0.0014852,0.0014852
15,216.03,1.52113,1.42482,1.39462,0.63289,0.59394,0.62939,0.32333,1.60178,1.49929,1.47939,0.0014456,0.0014456,0.0014456
16,229.358,1.4727,1.35589,1.35386,0.71289,0.61515,0.6822,0.36714,1.5562,1.38304,1.46914,0.001406,0.001406,0.001406
17,240.209,1.44341,1.36167,1.34535,0.73331,0.5697,0.64558,0.36043,1.51385,1.42328,1.40576,0.0013664,0.0013664,0.0013664
18,253.823,1.46534,1.41801,1.38604,0.68771,0.54545,0.6186,0.35037,1.52014,1.47661,1.44471,0.0013268,0.0013268,0.0013268
19,267.122,1.44844,1.34106,1.35184,0.69733,0.62835,0.67349,0.38023,1.52849,1.3771,1.42076,0.0012872,0.0012872,0.0012872
20,277.022,1.41431,1.29128,1.33433,0.72366,0.56364,0.65841,0.35908,1.55275,1.4779,1.46639,0.0012476,0.0012476,0.0012476
21,291.163,1.38631,1.29777,1.33981,0.60762,0.55843,0.60573,0.32985,1.6192,1.51581,1.49948,0.001208,0.001208,0.001208
22,304.908,1.36883,1.26853,1.29587,0.69575,0.60287,0.69604,0.38175,1.48992,1.33149,1.38065,0.0011684,0.0011684,0.0011684
23,315.142,1.37525,1.25424,1.28209,0.73965,0.62847,0.70295,0.39084,1.48798,1.28988,1.43118,0.0011288,0.0011288,0.0011288
24,328.642,1.40921,1.27164,1.31166,0.66226,0.62727,0.6994,0.39003,1.51139,1.30325,1.40667,0.0010892,0.0010892,0.0010892
25,342.551,1.3486,1.18814,1.28083,0.69359,0.60303,0.65222,0.37859,1.50567,1.45086,1.40674,0.0010496,0.0010496,0.0010496
26,352.422,1.41066,1.24092,1.33204,0.75013,0.6641,0.72194,0.41129,1.46362,1.32556,1.38133,0.00101,0.00101,0.00101
27,365.711,1.33374,1.19548,1.29191,0.7264,0.63636,0.71607,0.41412,1.48336,1.24897,1.39877,0.0009704,0.0009704,0.0009704
28,379.433,1.34885,1.17118,1.29483,0.74214,0.61212,0.69908,0.42094,1.42805,1.2656,1.36939,0.0009308,0.0009308,0.0009308
29,389.255,1.24624,1.30509,1.20006,0.78845,0.58485,0.70532,0.42105,1.42142,1.21869,1.37225,0.0008912,0.0008912,0.0008912
30,402.331,1.28865,1.13134,1.23223,0.73207,0.62121,0.68728,0.40239,1.42571,1.29752,1.37311,0.0008516,0.0008516,0.0008516
31,415.656,1.32248,1.18619,1.30659,0.8021,0.59091,0.72039,0.43093,1.38778,1.22753,1.34873,0.000812,0.000812,0.000812
32,425.433,1.31554,1.11823,1.24933,0.72056,0.65636,0.73257,0.41892,1.45205,1.20991,1.38477,0.0007724,0.0007724,0.0007724
33,438.451,1.30991,1.11587,1.25475,0.76246,0.61818,0.72745,0.42396,1.44272,1.2167,1.35425,0.0007328,0.0007328,0.0007328
34,451.963,1.26915,1.09529,1.23385,0.82322,0.62424,0.75318,0.45898,1.40728,1.16603,1.34172,0.0006932,0.0006932,0.0006932
35,462.078,1.24677,1.08918,1.2334,0.86973,0.61818,0.76763,0.46236,1.41658,1.16659,1.3464,0.0006536,0.0006536,0.0006536
36,475.101,1.26059,1.11493,1.23458,0.77009,0.64848,0.74447,0.44357,1.4252,1.18052,1.34718,0.000614,0.000614,0.000614
37,488.753,1.26787,1.04919,1.23632,0.71761,0.65455,0.72157,0.43749,1.43631,1.22929,1.37239,0.0005744,0.0005744,0.0005744
38,498.608,1.18584,0.99726,1.19071,0.74558,0.68182,0.74218,0.4469,1.42529,1.17333,1.34384,0.0005348,0.0005348,0.0005348
39,511.546,1.24556,1.02303,1.24244,0.75916,0.62424,0.74002,0.45354,1.42794,1.14738,1.36266,0.0004952,0.0004952,0.0004952
40,524.514,1.22302,1.03343,1.21405,0.74779,0.67387,0.73975,0.45071,1.39382,1.13623,1.33863,0.0004556,0.0004556,0.0004556
41,536.795,1.15258,1.04557,1.17755,0.77962,0.6303,0.72166,0.45475,1.38886,1.4129,1.33286,0.000416,0.000416,0.000416
42,548.958,1.15091,1.0001,1.20216,0.73898,0.67879,0.75503,0.4622,1.38824,1.1388,1.3405,0.0003764,0.0003764,0.0003764
43,561.369,1.12321,0.97174,1.15652,0.75753,0.68164,0.75619,0.47022,1.37804,1.11144,1.32479,0.0003368,0.0003368,0.0003368
44,571.334,1.2273,0.93697,1.31065,0.76043,0.69697,0.7633,0.48534,1.3597,1.10457,1.32026,0.0002972,0.0002972,0.0002972
45,583.727,1.09125,0.86441,1.12985,0.80172,0.65758,0.76429,0.48634,1.35336,1.09097,1.31981,0.0002576,0.0002576,0.0002576
46,596.659,1.13167,0.89505,1.14813,0.82185,0.65455,0.76772,0.48307,1.34286,1.07276,1.30008,0.000218,0.000218,0.000218
47,606.072,1.08123,0.84911,1.13164,0.81036,0.68631,0.77615,0.49596,1.35628,1.07591,1.2955,0.0001784,0.0001784,0.0001784
48,618.808,1.15329,0.91686,1.18741,0.84208,0.64632,0.76571,0.48492,1.37251,1.06871,1.31398,0.0001388,0.0001388,0.0001388
