epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,328.825,3.38164,3.55558,3.13467,0.62878,0.38788,0.46177,0.22657,3.80321,3.28221,3.10908,0.0009605,0.0009605,0.0009605
44,335.783,3.28742,3.37845,3.04876,0.55545,0.50909,0.5277,0.23092,4.07763,2.90715,3.20473,0.00093575,0.00093575,0.00093575
45,342.758,3.37061,3.42031,3.15355,0.56452,0.43996,0.50305,0.22387,3.91053,3.37066,3.13704,0.000911,0.000911,0.000911
46,349.701,3.33423,3.50465,3.13263,0.50003,0.53333,0.51192,0.21852,3.77859,3.41653,3.01573,0.00088625,0.00088625,0.00088625
47,356.601,3.27755,3.32244,3.06398,0.63454,0.54545,0.59504,0.26427,3.80324,2.92837,3.09811,0.0008615,0.0008615,0.0008615
48,363.58,3.35712,3.42832,3.11832,0.55758,0.57273,0.57027,0.27438,3.55847,2.87352,2.90094,0.00083675,0.00083675,0.00083675
49,370.571,3.19286,3.24507,2.95743,0.6459,0.4809,0.56221,0.27141,3.53611,3.05936,2.91093,0.000812,0.000812,0.000812
50,377.536,3.27677,3.3645,3.01028,0.67648,0.50058,0.58626,0.2686,3.55456,2.93395,2.91341,0.00078725,0.00078725,0.00078725
51,384.521,3.21637,3.30556,3.02424,0.69871,0.53636,0.61019,0.28839,3.83127,2.87003,3.0305,0.0007625,0.0007625,0.0007625
52,391.492,3.26194,3.3737,3.08061,0.64265,0.56364,0.63647,0.31231,3.68799,2.58644,2.9304,0.00073775,0.00073775,0.00073775
53,398.367,3.21832,3.27205,3.03278,0.5915,0.52727,0.58102,0.30403,3.50291,2.80781,2.88252,0.000713,0.000713,0.000713
54,405.348,3.24497,3.22514,3.02114,0.61897,0.50909,0.5578,0.2487,3.95178,3.16092,3.11629,0.00068825,0.00068825,0.00068825
55,412.341,3.21226,3.23397,2.9838,0.60349,0.58574,0.59356,0.3034,3.39446,2.82053,2.83626,0.0006635,0.0006635,0.0006635
56,419.252,3.17515,3.16918,3.0039,0.63452,0.56294,0.63161,0.31462,3.48354,2.70827,2.83932,0.00063875,0.00063875,0.00063875
57,426.332,3.2195,3.23904,3.01446,0.66267,0.56364,0.60312,0.26175,3.99965,2.79466,3.15811,0.000614,0.000614,0.000614
58,433.305,3.22281,3.21345,3.00162,0.69473,0.5697,0.65173,0.31168,3.5677,2.57983,2.93687,0.00058925,0.00058925,0.00058925
59,440.32,3.22796,3.2678,2.97623,0.71227,0.58182,0.64047,0.30733,3.49748,2.54663,2.91294,0.0005645,0.0005645,0.0005645
60,447.27,3.19578,3.22067,2.96691,0.69581,0.60303,0.659,0.32717,3.48794,2.59549,2.82158,0.00053975,0.00053975,0.00053975
61,454.281,3.11671,3.12019,2.94609,0.67371,0.59394,0.64372,0.3044,3.54669,2.63468,2.90599,0.000515,0.000515,0.000515
62,461.213,3.19577,3.14638,2.97478,0.67765,0.60606,0.67334,0.35429,3.38013,2.47174,2.82951,0.00049025,0.00049025,0.00049025
63,468.168,3.21102,3.15637,2.97587,0.63364,0.64545,0.65599,0.33636,3.3397,2.51061,2.79748,0.0004655,0.0004655,0.0004655
64,475.177,3.20618,3.10079,2.94744,0.65784,0.62121,0.6413,0.31112,3.44701,2.56789,2.84851,0.00044075,0.00044075,0.00044075
65,482.153,3.07161,2.99162,2.84559,0.67603,0.59394,0.64667,0.32808,3.49121,2.5752,2.86739,0.000416,0.000416,0.000416
66,489.044,3.15213,3.08548,2.93963,0.71915,0.60303,0.69525,0.34342,3.42372,2.59568,2.84066,0.00039125,0.00039125,0.00039125
67,496.048,3.12656,3.00639,2.89136,0.72455,0.58187,0.66904,0.35377,3.25921,2.61038,2.79662,0.0003665,0.0003665,0.0003665
68,502.951,3.13079,2.99594,2.90077,0.72284,0.5697,0.66829,0.32136,3.51791,2.61788,2.8933,0.00034175,0.00034175,0.00034175
69,509.892,3.1283,2.96645,2.91374,0.67442,0.60303,0.67109,0.34541,3.29288,2.52311,2.72889,0.000317,0.000317,0.000317
