epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.1291,2.25331,3.44754,2.09179,0.00401,0.48485,0.00429,0.00147,2.91478,3.64438,2.44888,0.00058,0.00058,0.00058
2,18.2223,2.05932,2.72994,1.93904,0.23773,0.17576,0.12017,0.04468,2.2409,3.16943,2.03912,0.00115664,0.00115664,0.00115664
3,23.8927,2.09344,2.54942,1.9818,0.24281,0.18485,0.11869,0.04063,2.40784,3.95794,2.29825,0.00170951,0.00170951,0.00170951
4,29.5423,2.10742,2.47552,1.95736,0.08942,0.12424,0.03086,0.00738,2.85682,6.6803,2.96967,0.0018812,0.0018812,0.0018812
5,35.1088,2.05174,2.32177,1.90611,0.20629,0.23939,0.12699,0.03669,2.66794,5.86018,2.4668,0.0018416,0.0018416,0.0018416
6,40.5934,2.01716,2.26519,1.90826,0.51546,0.28788,0.3573,0.12351,2.2398,3.75528,2.1027,0.001802,0.001802,0.001802
7,46.2808,1.94844,2.24795,1.84919,0.32367,0.26061,0.21354,0.07236,2.25551,5.50052,2.12764,0.0017624,0.0017624,0.0017624
8,51.8244,1.92033,2.15366,1.82414,0.46628,0.34242,0.3484,0.12377,2.12239,2.50074,1.95249,0.0017228,0.0017228,0.0017228
9,57.3318,1.89182,2.14145,1.80713,0.50958,0.43636,0.42467,0.16797,2.09675,2.05508,1.95352,0.0016832,0.0016832,0.0016832
10,63.0804,1.89694,2.05881,1.79208,0.55046,0.39394,0.42344,0.14779,2.22468,1.98981,1.96946,0.0016436,0.0016436,0.0016436
11,68.5653,1.93068,2.0755,1.84901,0.48141,0.33636,0.3343,0.11392,2.18031,2.20281,1.97879,0.001604,0.001604,0.001604
12,74.2224,1.85869,1.97325,1.79229,0.58565,0.42727,0.44972,0.15062,2.2485,1.93696,2.01388,0.0015644,0.0015644,0.0015644
13,79.8217,1.82898,1.93321,1.74676,0.56631,0.41943,0.45939,0.17791,2.17739,2.13711,1.89518,0.0015248,0.0015248,0.0015248
14,85.4155,1.88857,1.95115,1.76712,0.58658,0.48586,0.52377,0.20885,1.92733,1.73638,1.72695,0.0014852,0.0014852,0.0014852
15,91.1524,1.81734,1.86961,1.74459,0.59106,0.50606,0.53709,0.23373,1.90807,1.89748,1.75935,0.0014456,0.0014456,0.0014456
16,96.7387,1.78987,1.89115,1.70326,0.60854,0.47576,0.53862,0.23942,1.88617,1.74061,1.66621,0.001406,0.001406,0.001406
17,102.343,1.83152,1.90229,1.72264,0.6275,0.48182,0.51882,0.18647,2.08375,1.86335,1.82666,0.0013664,0.0013664,0.0013664
18,108.13,1.78179,1.87067,1.73309,0.56509,0.50303,0.51818,0.19358,2.05905,2.26096,1.82768,0.0013268,0.0013268,0.0013268
19,113.662,1.80714,1.84552,1.70236,0.62432,0.51212,0.52843,0.2251,1.93884,1.77136,1.74961,0.0012872,0.0012872,0.0012872
20,119.348,1.78478,1.80926,1.71041,0.61663,0.5,0.52941,0.2115,2.1228,1.85815,1.84153,0.0012476,0.0012476,0.0012476
21,124.966,1.7592,1.77598,1.6749,0.59983,0.55758,0.58475,0.26031,1.841,1.57682,1.64499,0.001208,0.001208,0.001208
22,130.554,1.79148,1.78907,1.7017,0.5525,0.50303,0.52511,0.2306,1.83039,1.93662,1.67334,0.0011684,0.0011684,0.0011684
23,136.344,1.76174,1.75165,1.64845,0.54251,0.56778,0.56762,0.2635,1.82705,1.75913,1.62657,0.0011288,0.0011288,0.0011288
24,141.992,1.76343,1.70484,1.64816,0.62585,0.6032,0.61685,0.27004,1.84631,1.61545,1.6469,0.0010892,0.0010892,0.0010892
25,147.689,1.76489,1.82807,1.67037,0.59868,0.49394,0.55501,0.2421,1.91441,1.91566,1.70921,0.0010496,0.0010496,0.0010496
26,153.404,1.74333,1.72345,1.65964,0.60248,0.54545,0.56735,0.22617,2.03155,1.67041,1.73535,0.00101,0.00101,0.00101
27,159.007,1.7321,1.80625,1.63727,0.73931,0.51515,0.6163,0.27441,1.97858,1.51915,1.7073,0.0009704,0.0009704,0.0009704
28,164.763,1.71614,1.69386,1.63762,0.65458,0.58485,0.63801,0.29747,1.82002,1.4993,1.63531,0.0009308,0.0009308,0.0009308
29,170.412,1.68309,1.67825,1.623,0.65549,0.56061,0.62434,0.30717,1.76368,1.48773,1.58379,0.0008912,0.0008912,0.0008912
30,176.03,1.71723,1.68345,1.6489,0.65511,0.59697,0.63992,0.266,1.93162,1.52072,1.6739,0.0008516,0.0008516,0.0008516
31,181.811,1.67798,1.62436,1.60392,0.77285,0.56667,0.68449,0.32201,1.80905,1.4646,1.60208,0.000812,0.000812,0.000812
32,187.455,1.63524,1.59853,1.58005,0.73068,0.5697,0.655,0.32778,1.77331,1.45617,1.57942,0.0007724,0.0007724,0.0007724
33,193.163,1.68789,1.6478,1.61061,0.66923,0.59471,0.6568,0.30804,1.83925,1.5224,1.62916,0.0007328,0.0007328,0.0007328
34,198.865,1.66599,1.60938,1.58808,0.77022,0.56884,0.66852,0.29841,1.90502,1.50509,1.64756,0.0006932,0.0006932,0.0006932
35,204.448,1.63786,1.56257,1.5717,0.77702,0.58485,0.69944,0.34847,1.73394,1.40371,1.51733,0.0006536,0.0006536,0.0006536
36,210.266,1.6803,1.59728,1.58492,0.65076,0.63636,0.67792,0.32955,1.7809,1.47798,1.55467,0.000614,0.000614,0.000614
37,215.93,1.67426,1.61037,1.61537,0.70075,0.59091,0.65828,0.32589,1.79067,1.49839,1.5654,0.0005744,0.0005744,0.0005744
38,221.567,1.65221,1.55654,1.58403,0.73495,0.62181,0.69042,0.33491,1.79284,1.36684,1.56775,0.0005348,0.0005348,0.0005348
39,227.283,1.64718,1.57168,1.5987,0.75861,0.62854,0.70157,0.3667,1.67355,1.28671,1.50878,0.0004952,0.0004952,0.0004952
40,232.92,1.57684,1.81164,1.51251,0.73027,0.62352,0.70469,0.3448,1.78071,1.33499,1.54189,0.0004556,0.0004556,0.0004556
41,239.929,1.46515,1.46816,1.43258,0.70957,0.57879,0.68156,0.35079,1.70602,1.44157,1.51702,0.000416,0.000416,0.000416
42,245.59,1.41563,1.33653,1.44297,0.74809,0.62092,0.71738,0.35117,1.76796,1.36972,1.55636,0.0003764,0.0003764,0.0003764
43,251.036,1.43098,1.28163,1.4351,0.7385,0.61818,0.70144,0.34627,1.80628,1.38284,1.5782,0.0003368,0.0003368,0.0003368
44,256.65,1.48202,1.2679,1.50724,0.78035,0.61818,0.72985,0.36888,1.69985,1.2898,1.51583,0.0002972,0.0002972,0.0002972
45,262.138,1.4018,1.16521,1.37762,0.77414,0.62318,0.738,0.38373,1.65049,1.28532,1.48829,0.0002576,0.0002576,0.0002576
46,267.706,1.40603,1.18281,1.39492,0.78496,0.64242,0.73459,0.37977,1.70263,1.29434,1.51086,0.000218,0.000218,0.000218
47,273.268,1.39958,1.14346,1.39889,0.71981,0.65393,0.73043,0.38234,1.68205,1.26874,1.49504,0.0001784,0.0001784,0.0001784
48,278.707,1.39657,1.14605,1.38168,0.7716,0.64496,0.73674,0.38008,1.66916,1.26948,1.49508,0.0001388,0.0001388,0.0001388
49,284.269,1.36589,1.12972,1.37122,0.75152,0.65152,0.7433,0.37894,1.70444,1.26476,1.50553,9.92e-05,9.92e-05,9.92e-05
50,289.795,1.34405,1.10219,1.35138,0.77888,0.64046,0.74381,0.39001,1.67163,1.24377,1.48397,5.96e-05,5.96e-05,5.96e-05
