epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.18465,2.50458,3.42351,2.26727,0.00133,0.16061,0.00124,0.00033,4.12188,3.86619,3.05827,0.00014,0.00014,0.00014
2,15.2602,2.3093,3.23985,2.12804,0.00143,0.17273,0.00215,0.0005,3.73979,3.82471,3.06435,0.000296288,0.000296288,0.000296288
3,20.7995,1.97279,2.63201,1.87601,0.00221,0.26667,0.00249,0.00083,2.89802,3.76612,2.4688,0.000448615,0.000448615,0.000448615
4,26.8475,1.89763,2.4154,1.78331,0.00479,0.57879,0.02565,0.00927,2.54485,3.54678,2.1714,0.000596983,0.000596983,0.000596983
5,32.9389,1.83021,2.21967,1.71905,0.00506,0.61212,0.02827,0.0109,2.35277,3.54613,1.94302,0.00074139,0.00074139,0.00074139
6,39.021,1.8414,2.16145,1.70618,0.0956,0.07879,0.02911,0.00827,2.56264,3.5472,2.21055,0.000881838,0.000881838,0.000881838
7,44.57,1.81954,2.08641,1.72175,0.18657,0.09091,0.04864,0.01547,2.599,3.30049,2.30228,0.00101833,0.00101833,0.00101833
8,50.1154,1.83907,2.11502,1.76853,0.33083,0.07879,0.09821,0.03728,2.56263,3.04856,2.27595,0.00115085,0.00115085,0.00115085
9,55.4658,1.8437,2.06817,1.75478,0.01062,0.13333,0.00944,0.00361,3.37931,4.16627,4.01117,0.00127942,0.00127942,0.00127942
10,61.2118,1.92159,2.07712,1.79093,0.12752,0.11818,0.04824,0.01341,2.86627,3.82791,3.41945,0.00140403,0.00140403,0.00140403
11,66.8288,1.86751,2.04285,1.78216,0.26278,0.06667,0.05303,0.01521,2.91933,3.09706,2.70079,0.00152467,0.00152467,0.00152467
12,72.141,1.86891,2.04107,1.78311,0.00631,0.21212,0.00481,0.00157,2.84426,inf,3.04344,0.00164136,0.00164136,0.00164136
13,77.9881,1.85844,1.98757,1.74932,0.35141,0.11818,0.10596,0.03976,2.35933,7.95399,2.29339,0.001703,0.001703,0.001703
14,83.5805,1.86842,1.98261,1.7598,0.22908,0.11818,0.0716,0.0251,2.88193,2.90318,3.23718,0.00167825,0.00167825,0.00167825
15,88.9592,1.8655,1.92691,1.73895,0.00389,0.30303,0.00275,0.00092,2.83909,11.2048,2.69099,0.0016535,0.0016535,0.0016535
16,94.2813,1.88349,1.95627,1.75846,0.20149,0.12727,0.09188,0.03887,2.50248,2.71301,2.17779,0.00162875,0.00162875,0.00162875
17,99.505,1.81394,1.88466,1.7149,0.15882,0.05758,0.03291,0.0124,2.99705,3.51547,2.97696,0.001604,0.001604,0.001604
18,105.146,1.79728,1.83986,1.68537,0.34112,0.26667,0.22734,0.07725,2.46402,2.45428,2.18872,0.00157925,0.00157925,0.00157925
19,111.022,1.78464,1.8417,1.68619,0.35266,0.26061,0.21917,0.07377,2.46661,2.73552,2.21177,0.0015545,0.0015545,0.0015545
20,117.077,1.76754,1.82651,1.65605,0.20777,0.20663,0.12245,0.05526,2.22919,4.39664,2.03182,0.00152975,0.00152975,0.00152975
21,122.384,1.76125,1.8588,1.71815,0.50208,0.38182,0.40354,0.1754,2.0832,1.80676,1.90671,0.001505,0.001505,0.001505
22,127.585,1.79207,1.76938,1.7042,0.61744,0.33939,0.39538,0.15845,2.18982,2.22325,1.90393,0.00148025,0.00148025,0.00148025
