epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.35087,2.19023,3.37962,2.01654,0.00331,0.4,0.00678,0.00218,3.05963,3.68206,2.70691,0.00058,0.00058,0.00058
2,15.9366,2.04993,2.67566,1.88488,0.00591,0.71515,0.01242,0.00378,2.61165,3.59649,2.67323,0.00115664,0.00115664,0.00115664
3,22.697,2.06756,2.4924,1.90349,0.04618,0.12424,0.02712,0.00626,2.96774,5.31587,2.93639,0.00170951,0.00170951,0.00170951
4,29.5627,2.05848,2.42421,1.91107,0.19111,0.15455,0.09449,0.02654,2.51245,10.2143,3.11906,0.0018812,0.0018812,0.0018812
5,35.5173,2.01623,2.28142,1.87934,0.29433,0.32424,0.24645,0.08491,2.40437,3.58046,2.31588,0.0018416,0.0018416,0.0018416
6,41.2484,1.9934,2.21517,1.86884,0.30527,0.26667,0.2145,0.08113,2.42765,2.41949,2.29951,0.001802,0.001802,0.001802
7,47.2286,1.93161,2.18406,1.83371,0.42764,0.3303,0.32355,0.14502,2.15395,2.14864,1.96639,0.0017624,0.0017624,0.0017624
8,53.7985,1.92019,2.11865,1.81814,0.45497,0.3415,0.30511,0.1201,2.16025,2.57501,1.99377,0.0017228,0.0017228,0.0017228
9,59.9338,1.85997,2.07165,1.76925,0.49131,0.32424,0.32726,0.12851,2.09818,2.24729,1.88195,0.0016832,0.0016832,0.0016832
10,65.7261,1.8907,2.00993,1.78769,0.46435,0.37879,0.39318,0.15252,2.11489,2.05537,1.93489,0.0016436,0.0016436,0.0016436
11,71.575,1.88243,2.02356,1.78525,0.5685,0.42121,0.45407,0.17375,2.09988,2.05742,1.89186,0.001604,0.001604,0.001604
12,77.5886,1.83582,1.93001,1.76353,0.54556,0.42121,0.44521,0.16084,2.13305,1.9873,1.89423,0.0015644,0.0015644,0.0015644
13,83.5075,1.83089,1.90698,1.73505,0.46746,0.44953,0.43599,0.1555,2.22656,1.97281,1.85613,0.0015248,0.0015248,0.0015248
14,89.4543,1.84948,1.89507,1.74177,0.64049,0.41212,0.50574,0.20205,1.95912,2.08043,1.72927,0.0014852,0.0014852,0.0014852
15,95.1517,1.7782,1.83776,1.70906,0.65579,0.50606,0.56802,0.2369,1.94447,2.13768,1.71663,0.0014456,0.0014456,0.0014456
16,101.263,1.8116,1.8558,1.70423,0.54272,0.5303,0.53898,0.22526,1.99923,1.82873,1.76896,0.001406,0.001406,0.001406
17,107.176,1.80813,1.8816,1.70941,0.64628,0.47879,0.56322,0.24067,1.97362,1.73279,1.7071,0.0013664,0.0013664,0.0013664
18,113.361,1.75685,1.82522,1.69466,0.48117,0.5697,0.5124,0.20572,1.91708,2.36137,1.69317,0.0013268,0.0013268,0.0013268
19,119.11,1.78198,1.81046,1.69061,0.63686,0.5303,0.60652,0.2731,1.86735,1.68911,1.65366,0.0012872,0.0012872,0.0012872
20,124.839,1.75071,1.75862,1.68487,0.63849,0.56364,0.58038,0.2599,1.9455,1.64167,1.69088,0.0012476,0.0012476,0.0012476
21,130.775,1.71044,1.72538,1.64742,0.7235,0.53333,0.6241,0.28072,1.87169,1.62788,1.65038,0.001208,0.001208,0.001208
22,137.066,1.75144,1.75057,1.69024,0.61842,0.50606,0.5686,0.274,1.7149,1.92054,1.57613,0.0011684,0.0011684,0.0011684
23,143.196,1.74205,1.70353,1.63053,0.68182,0.56494,0.61802,0.27338,1.91577,1.63937,1.65352,0.0011288,0.0011288,0.0011288
24,148.93,1.71403,1.64836,1.62081,0.6085,0.59816,0.61272,0.23584,2.03922,1.6978,1.7532,0.0010892,0.0010892,0.0010892
25,154.789,1.7431,1.81361,1.66087,0.65909,0.57879,0.62382,0.28788,1.89808,1.59769,1.65977,0.0010496,0.0010496,0.0010496
26,160.779,1.7189,1.65909,1.64571,0.67075,0.61116,0.65764,0.29869,1.87008,1.50813,1.62788,0.00101,0.00101,0.00101
27,166.655,1.76757,1.68212,1.6798,0.70146,0.61233,0.66814,0.31955,1.79526,1.37016,1.57721,0.0009704,0.0009704,0.0009704
28,172.49,1.70049,1.64359,1.62018,0.70371,0.61818,0.68576,0.32203,1.80376,1.43943,1.60583,0.0009308,0.0009308,0.0009308
29,178.287,1.6829,1.65399,1.61943,0.68032,0.6062,0.67586,0.32021,1.83321,1.47836,1.58568,0.0008912,0.0008912,0.0008912
30,184.161,1.69285,1.67236,1.62838,0.69013,0.6074,0.64095,0.27141,1.96557,1.47832,1.664,0.0008516,0.0008516,0.0008516
