epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.4722,2.24448,3.50662,2.11156,0.00258,0.31212,0.00228,0.00066,3.45432,3.81255,2.72886,0.00058,0.00058,0.00058
2,18.7002,2.1316,2.98563,2.00091,0.00401,0.48485,0.00609,0.00148,2.91712,3.62688,2.49008,0.00115664,0.00115664,0.00115664
3,25.2774,2.11811,2.63592,2.01921,0.00118,0.00303,0.00043,0.00011,4.39203,6.13016,17.8122,0.00170951,0.00170951,0.00170951
4,32.3619,2.13594,2.52732,1.98739,0.19963,0.17879,0.10641,0.03681,2.61448,4.88942,3.04928,0.0018812,0.0018812,0.0018812
5,39.6643,2.09946,2.35835,1.96704,0.19948,0.23636,0.11764,0.04069,2.37969,14.6183,2.345,0.0018416,0.0018416,0.0018416
6,46.6513,2.03268,2.27575,1.93665,0.35341,0.33636,0.25938,0.08957,2.16354,8.97929,2.16577,0.001802,0.001802,0.001802
7,53.344,1.97081,2.24077,1.8847,0.27521,0.27879,0.20308,0.07718,2.09326,15.0337,2.04796,0.0017624,0.0017624,0.0017624
8,59.6233,1.93412,2.15214,1.84939,0.43398,0.37273,0.33511,0.11614,2.17317,2.23206,1.94228,0.0017228,0.0017228,0.0017228
9,66.4122,1.89969,2.12329,1.81958,0.54648,0.40909,0.43139,0.18154,2.04859,2.5976,1.85597,0.0016832,0.0016832,0.0016832
10,73.2,1.90732,2.04993,1.82495,0.52747,0.46667,0.48085,0.16215,2.2156,2.00474,1.99555,0.0016436,0.0016436,0.0016436
11,80.0807,1.9333,2.07551,1.86584,0.52105,0.37912,0.39722,0.15195,2.13587,2.81058,1.90963,0.001604,0.001604,0.001604
12,86.8384,1.85364,1.98036,1.80922,0.44415,0.43636,0.37921,0.13943,2.07976,2.56874,1.86407,0.0015644,0.0015644,0.0015644
13,92.8826,1.85427,1.93286,1.76978,0.56242,0.46739,0.5007,0.18923,2.13159,2.02504,1.85737,0.0015248,0.0015248,0.0015248
14,99.1062,1.87729,1.95176,1.78936,0.57993,0.45758,0.47657,0.19195,1.99752,1.84492,1.79457,0.0014852,0.0014852,0.0014852
15,105.522,1.83875,1.86054,1.76991,0.59361,0.46035,0.50953,0.23257,1.84753,1.75568,1.69237,0.0014456,0.0014456,0.0014456
16,112.006,1.83353,1.88393,1.74237,0.67556,0.51515,0.5599,0.2578,1.85283,1.75322,1.68906,0.001406,0.001406,0.001406
17,118.528,1.82763,1.95675,1.74524,0.67188,0.52424,0.56325,0.24468,1.88951,1.79806,1.67393,0.0013664,0.0013664,0.0013664
18,124.729,1.77026,1.87377,1.72112,0.65059,0.48485,0.52391,0.19768,2.02365,1.96099,1.78287,0.0013268,0.0013268,0.0013268
